2024-05-23 06:33:29 
2024-05-23 06:33:29 *******                      *******
2024-05-23 06:33:29 ******* перезапуск программы *******
2024-05-23 06:33:29 *******                      *******
2024-05-23 06:33:29 
2024-05-23 17:35:37 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:35:40 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:35:40 dog = Point(x=80, y=619)
2024-05-23 17:35:40 нажал на собаку
2024-05-23 17:35:40 fun.move_to_click
2024-05-23 17:35:42 skip_battle = Point(x=432, y=115)
2024-05-23 17:35:42 fun.move_to_click
2024-05-23 17:35:46 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:35:47 нажать закрыть в конце боя
2024-05-23 17:35:47 fun.push_close_all_
2024-05-23 17:35:47 fun.close_popup_window
2024-05-23 17:35:47 fun.push_close
2024-05-23 17:35:48 fun.move_to_click
2024-05-23 17:35:51 skip_battle1_end_ver = None
2024-05-23 17:35:51 выход из 'enemy_battle
2024-05-23 17:35:51 fun.vizit_to_station_master
2024-05-23 17:35:51 fun.move_to_click
2024-05-23 17:35:55 fun.move_to_click
2024-05-23 17:35:59 station_master.enemy_battle
2024-05-23 17:35:59  поиск battle_end, skip_battle, dog
2024-05-23 17:36:02 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:04 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:07 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:09 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:11 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:14 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:16 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:19 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:21 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:24 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:26 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:29 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:31 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:34 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:36 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:39 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:41 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:41 skip_battle = Point(x=432, y=115)
2024-05-23 17:36:41 fun.move_to_click
2024-05-23 17:36:46 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:36:46 нажать закрыть в конце боя
2024-05-23 17:36:46 fun.push_close_all_
2024-05-23 17:36:46 fun.close_popup_window
2024-05-23 17:36:47 fun.push_close
2024-05-23 17:36:47 fun.move_to_click
2024-05-23 17:36:50 skip_battle1_end_ver = None
2024-05-23 17:36:50 выход из 'enemy_battle
2024-05-23 17:36:50 fun.vizit_to_station_master
2024-05-23 17:36:51 fun.move_to_click
2024-05-23 17:36:55 fun.move_to_click
2024-05-23 17:36:59 station_master.enemy_battle
2024-05-23 17:36:59  поиск battle_end, skip_battle, dog
2024-05-23 17:37:02 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:04 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:07 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:09 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:12 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:14 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:17 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:19 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:21 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:24 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:26 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:29 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:31 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:34 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:36 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:39 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:41 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:42 dog = Point(x=80, y=619)
2024-05-23 17:37:42 нажал на собаку
2024-05-23 17:37:42 fun.move_to_click
2024-05-23 17:37:43 skip_battle = Point(x=432, y=115)
2024-05-23 17:37:43 fun.move_to_click
2024-05-23 17:37:48 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:37:48 нажать закрыть в конце боя
2024-05-23 17:37:48 fun.push_close_all_
2024-05-23 17:37:48 fun.close_popup_window
2024-05-23 17:37:49 fun.push_close
2024-05-23 17:37:49 fun.move_to_click
2024-05-23 17:37:52 skip_battle1_end_ver = None
2024-05-23 17:37:52 выход из 'enemy_battle
2024-05-23 17:37:52 fun.vizit_to_station_master
2024-05-23 17:37:53 fun.move_to_click
2024-05-23 17:37:57 fun.move_to_click
2024-05-23 17:38:01 station_master.enemy_battle
2024-05-23 17:38:01  поиск battle_end, skip_battle, dog
2024-05-23 17:38:05 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:07 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:09 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:12 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:14 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:17 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:19 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:22 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:24 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:26 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:29 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:31 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:34 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:36 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:39 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:41 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:44 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:44 dog = Point(x=80, y=619)
2024-05-23 17:38:44 нажал на собаку
2024-05-23 17:38:44 fun.move_to_click
2024-05-23 17:38:46 skip_battle = Point(x=432, y=115)
2024-05-23 17:38:46 fun.move_to_click
2024-05-23 17:38:50 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:38:51 нажать закрыть в конце боя
2024-05-23 17:38:51 fun.push_close_all_
2024-05-23 17:38:51 fun.close_popup_window
2024-05-23 17:38:51 fun.push_close
2024-05-23 17:38:51 fun.move_to_click
2024-05-23 17:38:55 skip_battle1_end_ver = None
2024-05-23 17:38:55 выход из 'enemy_battle
2024-05-23 17:38:55 fun.vizit_to_station_master
2024-05-23 17:38:55 fun.move_to_click
2024-05-23 17:38:59 fun.move_to_click
2024-05-23 17:39:03 station_master.enemy_battle
2024-05-23 17:39:03  поиск battle_end, skip_battle, dog
2024-05-23 17:39:05 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:08 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:10 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:13 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:15 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:18 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:20 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:22 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:25 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:27 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:30 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:32 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:36 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:38 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:41 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:43 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:45 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:46 dog = Point(x=80, y=619)
2024-05-23 17:39:46 нажал на собаку
2024-05-23 17:39:46 fun.move_to_click
2024-05-23 17:39:48 skip_battle = Point(x=432, y=115)
2024-05-23 17:39:48 fun.move_to_click
2024-05-23 17:39:52 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:39:53 нажать закрыть в конце боя
2024-05-23 17:39:53 fun.push_close_all_
2024-05-23 17:39:53 fun.close_popup_window
2024-05-23 17:39:53 fun.push_close
2024-05-23 17:39:53 fun.move_to_click
2024-05-23 17:39:56 skip_battle1_end_ver = None
2024-05-23 17:39:56 выход из 'enemy_battle
2024-05-23 17:39:56 fun.vizit_to_station_master
2024-05-23 17:39:57 fun.move_to_click
2024-05-23 17:40:01 fun.move_to_click
2024-05-23 17:40:05 station_master.enemy_battle
2024-05-23 17:40:05  поиск battle_end, skip_battle, dog
2024-05-23 17:40:07 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:10 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:12 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:15 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:17 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:20 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:22 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:24 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:27 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:29 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:32 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:34 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:37 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:39 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:42 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:44 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:47 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:49 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:49 dog = Point(x=80, y=619)
2024-05-23 17:40:49 нажал на собаку
2024-05-23 17:40:49 fun.move_to_click
2024-05-23 17:40:51 skip_battle = Point(x=432, y=115)
2024-05-23 17:40:51 fun.move_to_click
2024-05-23 17:40:56 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:40:56 нажать закрыть в конце боя
2024-05-23 17:40:56 fun.push_close_all_
2024-05-23 17:40:56 fun.close_popup_window
2024-05-23 17:40:57 fun.push_close
2024-05-23 17:40:57 fun.move_to_click
2024-05-23 17:41:00 skip_battle1_end_ver = None
2024-05-23 17:41:00 выход из 'enemy_battle
2024-05-23 17:41:00 fun.vizit_to_station_master
2024-05-23 17:41:00 fun.move_to_click
2024-05-23 17:41:04 fun.move_to_click
2024-05-23 17:41:08 station_master.enemy_battle
2024-05-23 17:41:08  поиск battle_end, skip_battle, dog
2024-05-23 17:41:11 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:13 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:16 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:18 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:21 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:23 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:25 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:28 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:30 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:33 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:35 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:38 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:40 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:43 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:45 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:48 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:50 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:50 skip_battle = Point(x=432, y=115)
2024-05-23 17:41:50 fun.move_to_click
2024-05-23 17:41:55 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:41:55 нажать закрыть в конце боя
2024-05-23 17:41:55 fun.push_close_all_
2024-05-23 17:41:55 fun.close_popup_window
2024-05-23 17:41:56 fun.push_close
2024-05-23 17:41:56 fun.move_to_click
2024-05-23 17:41:59 skip_battle1_end_ver = None
2024-05-23 17:41:59 выход из 'enemy_battle
2024-05-23 17:41:59 fun.vizit_to_station_master
2024-05-23 17:41:59 fun.move_to_click
2024-05-23 17:42:04 fun.move_to_click
2024-05-23 17:42:08 station_master.enemy_battle
2024-05-23 17:42:08  поиск battle_end, skip_battle, dog
2024-05-23 17:42:10 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:12 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:15 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:18 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:20 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:23 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:25 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:27 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:30 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:32 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:35 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:37 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:40 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:42 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:45 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:47 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:49 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:50 dog = Point(x=80, y=619)
2024-05-23 17:42:50 нажал на собаку
2024-05-23 17:42:50 fun.move_to_click
2024-05-23 17:42:52 skip_battle = Point(x=432, y=115)
2024-05-23 17:42:52 fun.move_to_click
2024-05-23 17:42:56 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:42:57 нажать закрыть в конце боя
2024-05-23 17:42:57 fun.push_close_all_
2024-05-23 17:42:57 fun.close_popup_window
2024-05-23 17:42:57 fun.push_close
2024-05-23 17:42:57 fun.move_to_click
2024-05-23 17:43:00 fun.close_popup_window
2024-05-23 17:43:01 fun.move_to_click
2024-05-23 17:43:03 fun.push_close
2024-05-23 17:43:04 fun.move_to_click
2024-05-23 17:43:07 skip_battle1_end_ver = None
2024-05-23 17:43:07 выход из 'enemy_battle
2024-05-23 17:43:07 fun.vizit_to_station_master
2024-05-23 17:43:07 fun.move_to_click
2024-05-23 17:43:11 fun.move_to_click
2024-05-23 17:43:15 station_master.enemy_battle
2024-05-23 17:43:15  поиск battle_end, skip_battle, dog
2024-05-23 17:43:19 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:21 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:24 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:26 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:30 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:32 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:35 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:37 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:40 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:42 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:44 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:47 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:49 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:52 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:54 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:57 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:43:59 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:00 dog = Point(x=80, y=619)
2024-05-23 17:44:00 нажал на собаку
2024-05-23 17:44:00 fun.move_to_click
2024-05-23 17:44:02 skip_battle = Point(x=432, y=115)
2024-05-23 17:44:02 fun.move_to_click
2024-05-23 17:44:06 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:06 нажать закрыть в конце боя
2024-05-23 17:44:06 fun.push_close_all_
2024-05-23 17:44:07 fun.close_popup_window
2024-05-23 17:44:07 fun.push_close
2024-05-23 17:44:07 fun.move_to_click
2024-05-23 17:44:10 skip_battle1_end_ver = None
2024-05-23 17:44:10 выход из 'enemy_battle
2024-05-23 17:44:10 fun.vizit_to_station_master
2024-05-23 17:44:11 fun.move_to_click
2024-05-23 17:44:15 fun.move_to_click
2024-05-23 17:44:19 station_master.enemy_battle
2024-05-23 17:44:19  поиск battle_end, skip_battle, dog
2024-05-23 17:44:21 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:23 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:27 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:29 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:31 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:34 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:36 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:39 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:41 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:44 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:46 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:49 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:51 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:54 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:56 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:44:59 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:45:01 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:45:01 dog = Point(x=80, y=619)
2024-05-23 17:45:01 нажал на собаку
2024-05-23 17:45:01 fun.move_to_click
2024-05-23 17:45:03 skip_battle = Point(x=432, y=115)
2024-05-23 17:45:03 fun.move_to_click
2024-05-23 17:45:08 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:45:08 нажать закрыть в конце боя
2024-05-23 17:45:08 fun.push_close_all_
2024-05-23 17:45:08 fun.close_popup_window
2024-05-23 17:45:08 fun.push_close
2024-05-23 17:45:09 fun.move_to_click
2024-05-23 17:45:13 skip_battle1_end_ver = None
2024-05-23 17:45:13 выход из 'enemy_battle
2024-05-23 17:45:13 fun.vizit_to_station_master
2024-05-23 17:45:13 fun.move_to_click
2024-05-23 17:45:17 fun.move_to_click
2024-05-23 17:45:22 fun.move_to_click
2024-05-23 17:45:25 fun.move_to_click
2024-05-23 17:45:27 fun.move_to_click
2024-05-23 17:45:45 touring.most_frunze
2024-05-23 17:45:45 fun.push_close_all_
2024-05-23 17:45:46 touring.travel
2024-05-23 17:45:46 touring.traffic_on_the_map
2024-05-23 17:45:46 touring.to_map
2024-05-23 17:45:48 turgenev_st = None
2024-05-23 17:45:53 ev_map = 0
2024-05-23 17:45:53 pos_stan = Point(x=189, y=464), stan[1] = img/tonelli/k_Pushkin.png
2024-05-23 17:45:53 touring.poisk
2024-05-23 17:45:54 point_poisk = Point(x=189, y=464), confidence_poisk = 0.98
2024-05-23 17:45:54 fun.move_to_click
2024-05-23 17:45:57 touring.tunnel_events
2024-05-23 17:45:58 id_st = None
2024-05-23 17:45:58 info = Point(x=125, y=158)
2024-05-23 17:45:58 skip_battle = None
2024-05-23 17:45:58 id_st = None
2024-05-23 17:45:59 skip_battle = None
2024-05-23 17:45:59 id_st = None
2024-05-23 17:45:59 skip_battle = None
2024-05-23 17:45:59 id_st = None
2024-05-23 17:45:59 skip_battle = None
2024-05-23 17:46:00 id_st = None
2024-05-23 17:46:00 skip_battle = None
2024-05-23 17:46:00 id_st = None
2024-05-23 17:46:00 skip_battle = None
2024-05-23 17:46:01 id_st = None
2024-05-23 17:46:01 skip_battle = None
2024-05-23 17:46:01 id_st = None
2024-05-23 17:46:01 skip_battle = None
2024-05-23 17:46:01 id_st = None
2024-05-23 17:46:02 skip_battle = None
2024-05-23 17:46:02 id_st = None
2024-05-23 17:46:02 skip_battle = None
2024-05-23 17:46:02 id_st = None
2024-05-23 17:46:03 skip_battle = None
2024-05-23 17:46:03 id_st = None
2024-05-23 17:46:03 skip_battle = None
2024-05-23 17:46:03 id_st = None
2024-05-23 17:46:04 skip_battle = None
2024-05-23 17:46:04 id_st = None
2024-05-23 17:46:04 skip_battle = None
2024-05-23 17:46:04 id_st = None
2024-05-23 17:46:04 skip_battle = None
2024-05-23 17:46:05 id_st = None
2024-05-23 17:46:05 skip_battle = None
2024-05-23 17:46:05 id_st = None
2024-05-23 17:46:05 skip_battle = None
2024-05-23 17:46:05 id_st = None
2024-05-23 17:46:06 skip_battle = None
2024-05-23 17:46:06 id_st = None
2024-05-23 17:46:06 skip_battle = None
2024-05-23 17:46:06 id_st = None
2024-05-23 17:46:07 skip_battle = None
2024-05-23 17:46:07 id_st = None
2024-05-23 17:46:07 skip_battle = None
2024-05-23 17:46:07 id_st = None
2024-05-23 17:46:08 skip_battle = Point(x=433, y=114)
2024-05-23 17:46:08 raptor = None
2024-05-23 17:46:08 arachne = None
2024-05-23 17:46:08 krysa = Point(x=807, y=148)
2024-05-23 17:46:08 kiki = None
2024-05-23 17:46:08 station_master.enemy_battle
2024-05-23 17:46:08  поиск battle_end, skip_battle, dog
2024-05-23 17:46:08 dog = Point(x=80, y=619)
2024-05-23 17:46:08 нажал на собаку
2024-05-23 17:46:08 fun.move_to_click
2024-05-23 17:46:11 ожидание battle_end, close, dog, skip_battle
2024-05-23 17:46:12 нажать закрыть в конце боя
2024-05-23 17:46:12 fun.push_close_all_
2024-05-23 17:46:12 fun.close_popup_window
2024-05-23 17:46:12 fun.push_close
2024-05-23 17:46:12 fun.move_to_click
2024-05-23 17:46:16 skip_battle1_end_ver = None
2024-05-23 17:46:16 выход из 'enemy_battle
2024-05-23 17:46:16 id_st = None
2024-05-23 17:46:16 skip_battle = None
2024-05-23 17:46:16 id_st = None
2024-05-23 17:46:17 skip_battle = None
2024-05-23 17:46:17 id_st = None
2024-05-23 17:46:17 skip_battle = None
2024-05-23 17:46:17 id_st = None
2024-05-23 17:46:18 skip_battle = None
2024-05-23 17:46:18 id_st = None
2024-05-23 17:46:18 skip_battle = None
2024-05-23 17:46:18 id_st = None
2024-05-23 17:46:18 skip_battle = None
2024-05-23 17:46:19 id_st = None
2024-05-23 17:46:19 skip_battle = None
2024-05-23 17:46:19 id_st = None
2024-05-23 17:46:20 skip_battle = None
2024-05-23 17:46:20 id_st = None
2024-05-23 17:46:21 skip_battle = None
2024-05-23 17:46:22 id_st = None
2024-05-23 17:46:22 skip_battle = None
2024-05-23 17:46:23 id_st = None
2024-05-23 17:46:23 skip_battle = None
2024-05-23 17:46:23 id_st = None
2024-05-23 17:46:24 skip_battle = None
2024-05-23 17:46:24 id_st = None
2024-05-23 17:46:24 skip_battle = None
2024-05-23 17:46:24 id_st = None
2024-05-23 17:46:24 skip_battle = None
2024-05-23 17:46:25 id_st = None
2024-05-23 17:46:25 skip_battle = None
2024-05-23 17:46:25 id_st = None
2024-05-23 17:46:25 skip_battle = None
2024-05-23 17:46:25 post = Point(x=372, y=178)
2024-05-23 17:46:26 entry = Point(x=302, y=507)
2024-05-23 17:46:26 fun.move_to_click
2024-05-23 17:46:29 id_st = Point(x=402, y=686)
2024-05-23 17:46:29 ст. Пушкинская
2024-05-23 17:46:30 touring.event_gifts
2024-05-23 17:46:31 pos_gift = None
2024-05-23 17:46:31 pos_gift = None
2024-05-23 17:46:31 touring.traffic_on_the_map
2024-05-23 17:46:31 touring.to_map
2024-05-23 17:46:33 turgenev_st = None
2024-05-23 17:46:38 ev_map = стрелка север
2024-05-23 17:46:38 pos_stan = Point(x=554, y=420), stan[1] = img/tonelli/k_Chekhov.png
2024-05-23 17:46:38 touring.poisk
2024-05-23 17:46:39 point_poisk = Point(x=555, y=420), confidence_poisk = 0.96
2024-05-23 17:46:39 fun.move_to_click
2024-05-23 17:46:41 touring.tunnel_events
2024-05-23 17:46:42 id_st = Point(x=396, y=686)
2024-05-23 17:46:43 info = Point(x=125, y=158)
2024-05-23 17:46:43 ст. Чеховская
2024-05-23 17:46:44 touring.event_gifts
2024-05-23 17:46:45 pos_gift = None
2024-05-23 17:46:45 pos_gift = None
2024-05-23 17:46:45 touring.traffic_on_the_map
2024-05-23 17:46:45 touring.to_map
2024-05-23 17:46:46 turgenev_st = None
2024-05-23 17:46:51 ev_map = стрелка юг
2024-05-23 17:46:51 pos_stan = None, stan[1] = img/tonelli/k_Borov.png
2024-05-23 17:46:51 pos_click = Point(x=431, y=724), нажал на стрелку "юг"
2024-05-23 17:46:51 fun.move_to_click
2024-05-23 17:46:55 touring.poisk
2024-05-23 17:46:56 point_poisk = Point(x=525, y=626), confidence_poisk = 0.97
2024-05-23 17:46:56 fun.move_to_click
2024-05-23 17:46:58 touring.tunnel_events
2024-05-23 17:46:59 id_st = None
2024-05-23 17:46:59 info = Point(x=125, y=158)
2024-05-23 17:47:00 skip_battle = None
2024-05-23 17:47:00 id_st = None
2024-05-23 17:47:00 skip_battle = None
2024-05-23 17:47:00 id_st = None
2024-05-23 17:47:01 skip_battle = None
2024-05-23 17:47:01 id_st = None
2024-05-23 17:47:01 skip_battle = None
2024-05-23 17:47:01 id_st = None
2024-05-23 17:47:02 skip_battle = None
2024-05-23 17:47:02 id_st = None
2024-05-23 17:47:02 skip_battle = None
2024-05-23 17:47:02 id_st = None
2024-05-23 17:47:02 skip_battle = None
2024-05-23 17:47:03 id_st = None
2024-05-23 17:47:03 skip_battle = None
2024-05-23 17:47:03 id_st = None
2024-05-23 17:47:03 skip_battle = None
2024-05-23 17:47:03 id_st = None
2024-05-23 17:47:04 skip_battle = None
2024-05-23 17:47:04 id_st = None
2024-05-23 17:47:04 skip_battle = None
2024-05-23 17:47:04 id_st = None
2024-05-23 17:47:05 skip_battle = None
2024-05-23 17:47:05 id_st = None
2024-05-23 17:47:05 skip_battle = None
2024-05-23 17:47:05 id_st = None
2024-05-23 17:47:06 skip_battle = None
2024-05-23 17:47:06 id_st = None
2024-05-23 17:47:06 skip_battle = None
2024-05-23 17:47:06 id_st = None
2024-05-23 17:47:07 skip_battle = None
2024-05-23 17:47:07 id_st = None
2024-05-23 17:47:07 skip_battle = None
2024-05-23 17:47:07 id_st = None
2024-05-23 17:47:07 skip_battle = None
2024-05-23 17:47:08 id_st = None
2024-05-23 17:47:08 skip_battle = None
2024-05-23 17:47:08 id_st = None
2024-05-23 17:47:08 skip_battle = None
2024-05-23 17:47:08 id_st = None
2024-05-23 17:47:09 skip_battle = None
2024-05-23 17:47:09 id_st = None
2024-05-23 17:47:09 skip_battle = Point(x=433, y=114)
2024-05-23 17:47:09 raptor = None
2024-05-23 17:47:10 arachne = None
2024-05-23 17:47:10 krysa = Point(x=807, y=148)
2024-05-23 17:47:11 kiki = None
2024-05-23 17:47:11 station_master.enemy_battle
2024-05-23 17:47:11  поиск battle_end, skip_battle, dog
2024-05-23 17:47:12 dog = Point(x=80, y=619)
2024-05-23 17:47:12 нажал на собаку
2024-05-23 17:47:12 fun.move_to_click
